1	Russell Westbrook	OKC	28	46	27	19	34.7	30.7	10.0	23.7	41.9	2.1	6.3	33.0	8.7	10.6	82.2	1.8	8.8	10.7	10.4	5.6	1.6	0.3	2.4	36	23	3.9
2	Isaiah Thomas	BOS	27	41	26	15	34.3	29.1	9.2	19.9	46.2	3.0	8.0	38.0	7.7	8.5	90.8	0.7	2.1	2.8	6.2	2.5	0.8	0.1	2.1	5	0	1.8
3	James Harden	HOU	27	49	34	15	36.6	28.6	8.3	18.5	44.7	3.0	8.8	34.5	9.1	10.6	85.5	1.2	7.0	8.2	11.6	5.9	1.4	0.5	2.6	40	13	5.8
4	Anthony Davis	NOP	23	42	16	26	35.9	28.1	10.2	20.4	50.0	0.5	1.7	29.6	7.2	9.1	79.3	2.3	9.5	11.8	2.2	2.5	1.3	2.4	2.3	27	0	-0.8
5	DeMarcus Cousins	SAC	26	44	18	26	34.6	28.0	9.4	20.8	44.9	1.7	4.7	36.5	7.5	9.7	77.3	2.0	8.3	10.3	4.4	3.4	1.4	1.4	3.6	25	1	0.1
6	DeMar DeRozan	TOR	27	44	28	16	35.4	27.9	10.0	21.3	47.3	0.4	1.4	25.8	7.5	8.8	85.0	1.0	4.3	5.3	3.8	2.4	1.2	0.2	1.9	3	0	2.3
7	Damian Lillard	POR	26	41	17	24	35.6	26.2	8.6	19.3	44.5	2.5	7.3	34.2	6.5	7.3	89.6	0.6	4.1	4.8	5.9	2.7	0.7	0.3	2.2	8	0	-1.2
8	Kevin Durant	GSW	28	46	39	7	34.4	26.2	9.3	17.1	54.3	2.0	5.0	38.8	5.7	6.6	86.8	0.6	7.8	8.4	4.7	2.3	1.2	1.7	2.0	17	1	11.5
9	LeBron James	CLE	32	41	30	11	37.6	25.6	9.4	18.2	51.9	1.7	4.6	36.3	5.0	7.1	70.3	1.4	6.5	7.9	8.4	4.2	1.5	0.6	1.7	19	5	6.5
10	Kawhi Leonard	SAS	25	41	32	9	33.6	25.5	8.4	17.2	49.0	2.1	5.0	41.3	6.6	7.2	91.2	1.2	4.5	5.7	3.2	1.9	1.8	0.7	1.6	6	0	6.2
11	Jimmy Butler	CHI	27	45	23	22	36.8	24.9	7.6	16.6	45.9	1.3	3.6	35.4	8.3	9.5	87.4	1.7	4.9	6.6	4.8	2.1	1.8	0.3	1.6	7	0	2.3
12	Stephen Curry	GSW	28	46	39	7	33.6	24.6	8.2	17.7	46.4	3.9	9.6	40.4	4.3	4.7	91.7	0.6	3.7	4.2	6.2	3.0	1.7	0.2	2.2	4	0	12.6
13	Kyrie Irving	CLE	24	39	27	12	35.3	24.4	9.0	19.3	46.9	2.4	6.0	40.8	3.9	4.4	88.9	0.8	2.5	3.3	5.6	2.6	1.2	0.2	1.9	6	0	5.4
14	Giannis Antetokounmpo	MIL	22	44	21	23	35.0	23.5	8.6	16.3	52.9	0.7	2.6	28.1	5.6	7.1	78.9	2.0	6.8	8.9	5.4	3.0	1.8	2.0	3.3	20	2	1.8
15	CJ McCollum	POR	25	46	19	27	34.7	23.5	8.8	18.3	47.8	2.6	6.1	41.8	3.4	3.8	89.1	0.8	2.7	3.5	3.7	2.3	1.2	0.7	2.8	1	0	-1.2
16	John Wall	WAS	26	43	25	18	36.4	23.1	8.5	18.3	46.4	1.1	3.4	31.7	5.0	6.1	82.4	0.9	3.7	4.6	10.1	4.3	2.2	0.5	2.0	26	0	3.3
17	Kemba Walker	CHA	26	45	23	22	33.8	23.0	8.2	18.0	45.7	2.8	6.9	41.1	3.8	4.6	82.7	0.6	3.4	4.1	5.5	2.3	1.2	0.2	1.6	5	0	3.9
18	Carmelo Anthony	NYK	32	46	20	26	33.6	22.7	8.1	18.5	43.8	2.1	5.6	37.2	4.4	5.3	83.5	0.8	5.2	6.1	3.1	2.0	0.9	0.4	2.7	5	0	-2.3
19	Kyle Lowry	TOR	30	45	27	18	37.3	22.4	7.1	15.1	46.9	3.2	7.5	42.2	5.1	6.1	83.0	0.9	3.9	4.8	6.9	2.9	1.6	0.4	2.9	7	0	6.4
20	Karl-Anthony Towns	MIN	21	45	17	28	36.2	22.4	8.7	17.3	50.3	1.1	3.4	31.6	4.0	4.8	81.7	3.4	8.5	11.9	3.0	2.8	0.6	1.5	3.1	34	1	-0.4
21	Paul George	IND	26	37	19	18	35.4	22.2	7.7	17.1	45.0	2.4	6.1	38.7	4.4	4.8	92.6	0.8	5.2	6.0	3.2	2.8	1.7	0.3	2.6	3	0	1.5
22	Andrew Wiggins	MIN	21	45	17	28	37.0	22.0	8.1	18.0	44.9	1.2	3.5	34.6	4.6	6.3	73.6	1.2	3.1	4.3	2.4	2.5	0.8	0.4	2.1	1	0	-0.2
23	Bradley Beal	WAS	23	41	24	17	34.4	21.9	7.6	16.6	45.5	2.7	7.1	38.6	4.0	4.9	81.6	0.6	2.2	2.9	3.6	2.0	1.0	0.3	2.2	0	0	4.3
24	Gordon Hayward	UTA	26	40	26	14	34.9	21.8	7.0	15.2	45.7	2.0	5.0	39.9	5.9	6.8	87.4	0.6	5.2	5.7	3.5	2.1	1.0	0.3	1.7	2	0	3.6
25	Klay Thompson	GSW	26	45	38	7	34.3	21.1	8.0	17.0	46.7	3.1	7.8	39.6	2.1	2.5	84.7	0.6	3.2	3.8	1.9	1.8	0.8	0.5	1.9	0	0	11.6
26	Blake Griffin	LAC	27	27	19	8	33.5	20.9	7.7	16.3	47.5	0.2	0.8	22.7	5.2	7.0	74.1	2.0	6.9	8.9	4.7	2.6	1.0	0.5	2.6	12	0	9.1
