1	Russell Westbrook	OKC	28	35	21	14	34.6	30.9	10.2	23.8	42.8	1.8	5.5	32.5	8.7	10.7	82.0	1.9	8.5	10.4	10.5	5.4	1.3	0.3	2.3	27	16	5.3
2	DeMarcus Cousins	SAC	26	33	15	18	34.8	29.0	9.8	21.6	45.3	1.8	4.8	38.2	7.6	9.7	78.5	2.1	8.0	10.1	3.8	3.0	1.4	1.4	3.7	15	0	1.4
3	Anthony Davis	NOP	23	34	14	20	37.3	28.9	10.4	21.1	49.1	0.6	2.0	27.9	7.6	9.5	79.3	2.2	9.6	11.8	2.1	2.6	1.4	2.6	2.4	22	0	-0.9
4	James Harden	HOU	27	36	27	9	36.5	28.4	8.3	18.6	44.5	3.1	8.8	35.6	8.8	10.3	84.7	1.3	6.9	8.2	11.9	5.7	1.4	0.3	2.5	29	9	7.5
5	Isaiah Thomas	BOS	27	31	20	11	33.5	27.8	8.5	18.9	45.3	2.6	7.3	36.4	8.0	8.9	90.5	0.5	2.1	2.5	6.4	2.2	0.9	0.1	2.3	4	0	1.6
6	DeMar DeRozan	TOR	27	34	23	11	35.3	27.5	9.9	21.0	47.3	0.4	1.6	24.5	7.2	8.6	83.7	0.9	4.1	5.0	4.0	2.4	1.3	0.1	1.9	1	0	2.6
7	Damian Lillard	POR	26	32	13	19	35.8	27.0	8.8	19.3	45.4	2.6	7.3	35.2	7.0	7.8	89.6	0.5	3.9	4.5	6.2	2.7	0.9	0.3	2.4	7	0	-2.5
8	Kevin Durant	GSW	28	35	30	5	34.2	25.7	9.1	17.0	53.7	1.9	4.8	39.3	5.5	6.4	86.2	0.6	8.2	8.7	4.7	2.3	1.1	1.5	2.1	14	1	10.4
9	LeBron James	CLE	32	30	26	4	37.2	25.6	9.5	18.7	50.8	1.9	5.0	37.3	4.8	7.0	68.4	1.4	6.4	7.8	8.6	3.8	1.4	0.6	1.6	14	3	10.2
10	Jimmy Butler	CHI	27	35	17	18	36.6	25.3	7.9	17.1	46.0	1.1	3.3	33.3	8.5	9.7	88.2	1.8	5.0	6.8	4.4	2.1	1.7	0.3	1.8	5	0	2.9
11	Kawhi Leonard	SAS	25	33	26	7	33.2	24.0	7.8	16.6	47.0	2.0	4.9	40.4	6.4	7.0	91.8	1.3	4.6	5.9	3.1	1.9	2.0	0.6	1.5	6	0	5.4
12	Kyrie Irving	CLE	24	29	23	6	34.7	23.9	9.0	18.7	48.1	2.3	5.6	42.0	3.7	4.2	87.6	0.8	2.8	3.6	6.0	2.5	1.1	0.1	1.8	6	0	6.4
13	Stephen Curry	GSW	28	35	30	5	33.3	23.9	7.8	16.7	46.5	3.7	9.2	40.1	4.7	5.0	93.7	0.6	3.6	4.2	5.8	2.7	1.7	0.1	2.5	2	0	12.3
14	Giannis Antetokounmpo	MIL	22	33	17	16	35.2	23.8	8.6	16.0	53.6	0.7	2.4	29.5	6.0	7.7	77.6	1.9	7.0	9.0	5.9	2.9	1.9	1.9	3.4	15	2	4.3
