1	Golden State Warriors	34	29	5	.853	48.3	117.0	43.3	87.1	49.7	11.8	31.0	38.1	18.5	23.3	79.4	9.1	36.3	45.4	31.2	15.1	9.3	6.2	3.7	19.7	20.0	12.7
2	San Antonio Spurs	34	27	7	.794	48.1	105.4	38.9	82.1	47.4	9.0	22.0	40.7	18.6	22.6	82.3	9.7	33.6	43.3	23.6	13.5	8.1	5.5	4.0	18.2	19.9	7.1
3	Cleveland Cavaliers	32	25	7	.781	48.2	110.9	39.3	85.2	46.1	13.3	33.3	39.8	19.1	25.1	76.1	10.2	34.0	44.1	22.6	13.5	7.2	4.1	4.8	18.2	21.8	7.3
4	Houston Rockets	35	26	9	.743	48.4	114.9	40.9	86.9	47.0	15.1	39.7	38.0	18.1	23.9	75.8	11.3	33.7	45.1	25.8	15.9	8.0	4.6	4.9	20.0	19.5	7.8
5	Toronto Raptors	33	23	10	.697	48.2	111.2	40.2	85.2	47.2	9.7	24.6	39.3	21.0	25.8	81.2	10.9	31.7	42.6	19.7	12.0	9.2	4.8	4.2	21.0	20.8	7.9
6	Oklahoma City Thunder	34	21	13	.618	48.6	106.4	39.5	86.2	45.9	8.4	25.5	32.9	18.9	26.1	72.7	11.2	34.1	45.3	21.6	15.3	7.7	5.1	5.1	20.3	21.1	1.8
6	Utah Jazz	34	21	13	.618	48.0	98.9	35.9	76.9	46.7	9.7	26.4	36.9	17.3	22.9	75.7	8.2	34.2	42.4	19.1	13.8	6.1	5.2	3.4	19.2	20.2	4.2
8	Memphis Grizzlies	36	22	14	.611	49.0	98.6	35.6	84.1	42.4	8.8	25.5	34.6	18.5	23.7	78.1	10.8	32.8	43.6	20.3	13.2	8.6	5.1	5.5	23.9	21.1	0.9
8	LA Clippers	36	22	14	.611	48.3	108.0	39.1	84.2	46.4	10.4	27.5	37.6	19.4	25.5	76.1	9.4	33.9	43.3	22.1	13.2	8.1	4.6	3.4	20.7	22.6	4.9
10	Boston Celtics	34	20	14	.588	48.1	106.1	38.8	86.1	45.0	11.2	31.6	35.5	17.3	21.6	80.1	9.4	31.9	41.3	24.9	12.4	7.8	4.4	5.3	20.7	19.6	1.9
11	Charlotte Hornets	34	19	15	.559	48.4	104.9	38.0	86.0	44.2	9.5	27.1	35.1	19.4	25.2	77.1	9.4	36.3	45.7	23.5	11.9	6.6	5.2	5.7	16.6	20.5	2.3
12	Atlanta Hawks	34	18	16	.529	48.3	102.3	38.6	85.1	45.4	8.6	26.1	33.1	16.4	22.9	71.6	10.7	33.2	43.9	24.0	15.9	8.6	5.1	5.1	18.1	20.8	-1.6
13	Milwaukee Bucks	32	16	16	.500	48.3	105.1	39.8	84.0	47.4	8.6	23.9	36.0	16.9	22.2	76.2	9.5	33.9	43.4	24.9	13.8	8.0	5.4	4.9	20.1	19.0	2.5
13	Washington Wizards	32	16	16	.500	48.5	105.7	40.2	85.7	46.9	8.0	22.4	35.6	17.3	22.3	77.5	10.3	31.6	41.9	22.5	14.6	8.8	3.8	4.3	21.8	20.3	-0.5
15	Indiana Pacers	35	17	18	.486	48.6	104.5	38.9	85.7	45.4	8.1	22.8	35.8	18.6	22.8	81.5	8.7	33.9	42.5	22.3	14.1	8.4	5.5	5.3	19.9	20.3	-1.3
16	New York Knicks	33	16	17	.485	48.5	105.5	39.7	89.9	44.2	9.0	25.2	35.6	17.1	21.6	79.1	12.1	34.2	46.3	21.5	14.0	7.3	5.8	4.8	21.2	18.7	-2.8
17	Chicago Bulls	34	16	18	.471	48.0	100.5	37.6	86.6	43.4	6.1	19.9	30.7	19.3	24.1	80.0	13.7	33.9	47.7	20.9	13.6	7.6	5.3	5.2	17.5	19.1	-0.1
18	Detroit Pistons	36	16	20	.444	48.0	98.8	38.6	85.8	44.9	7.6	22.3	34.1	14.0	18.9	74.0	9.8	34.1	43.9	20.9	12.1	7.0	3.7	4.3	17.6	17.4	0.1
19	Orlando Magic	35	15	20	.429	48.3	98.9	37.8	86.2	43.9	8.8	26.3	33.4	14.6	20.5	71.2	9.6	33.3	42.9	22.0	12.7	6.5	5.7	5.5	18.5	18.9	-4.5
20	Denver Nuggets	33	14	19	.424	48.5	107.8	39.2	87.0	45.0	9.5	26.6	35.8	19.9	26.6	74.9	12.5	35.2	47.6	22.8	15.8	6.5	4.0	5.3	21.0	21.9	-1.8
21	Sacramento Kings	33	14	19	.424	48.5	101.8	37.1	83.0	44.7	8.7	24.6	35.2	19.0	24.5	77.3	9.6	31.7	41.3	21.5	13.9	8.0	4.1	5.7	20.5	21.6	-2.5
22	Portland Trail Blazers	36	15	21	.417	48.4	107.3	39.1	85.5	45.7	10.3	28.6	36.0	18.8	24.0	78.3	9.4	32.4	41.8	21.6	13.7	7.1	4.8	5.2	22.4	19.7	-3.6
23	New Orleans Pelicans	35	14	21	.400	48.9	102.9	38.3	86.9	44.0	8.8	25.5	34.6	17.5	23.2	75.5	8.4	36.0	44.4	22.9	12.7	7.5	5.9	4.5	18.5	19.7	-3.1
24	Los Angeles Lakers	37	12	25	.324	48.0	104.2	38.5	86.5	44.5	9.1	25.6	35.3	18.2	23.4	77.7	11.8	32.0	43.8	20.4	15.8	8.2	3.6	5.3	20.3	19.0	-6.2
25	Minnesota Timberwolves	34	11	23	.324	48.3	103.7	38.3	84.3	45.4	8.3	23.5	35.3	18.9	24.2	78.1	12.1	30.7	42.8	22.4	14.7	7.6	4.6	5.1	20.7	20.7	-1.6
26	Phoenix Suns	34	10	24	.294	48.7	106.2	39.2	88.4	44.4	8.3	24.1	34.4	19.4	25.6	75.9	11.6	33.4	44.9	18.2	16.2	8.8	4.4	5.6	25.3	22.3	-6.8
26	Dallas Mavericks	34	10	24	.294	48.3	95.1	35.3	82.2	42.9	10.3	30.0	34.4	14.2	17.9	79.4	8.7	29.7	38.4	19.6	12.3	8.0	3.7	3.5	18.9	19.1	-5.5
28	Miami Heat	35	10	25	.286	48.4	98.4	37.9	86.0	44.0	8.7	25.0	34.6	14.0	21.1	66.3	11.0	33.6	44.6	21.1	13.3	6.8	5.6	5.6	20.3	18.4	-3.5
29	Brooklyn Nets	32	8	24	.250	48.3	106.0	37.6	85.4	44.0	11.1	32.9	33.7	19.8	25.3	78.1	9.3	34.8	44.0	21.0	17.3	7.7	4.5	5.8	20.8	21.1	-8.4
30	Philadelphia 76ers	32	8	24	.250	48.6	99.0	36.8	84.4	43.6	10.7	29.8	35.9	14.8	19.9	74.6	9.6	33.3	42.9	22.5	16.9	7.7	5.6	5.1	22.1	19.4	-7.5
